Address,Price,Bedrooms,Bathrooms,SquareFeet,Latitude,Longitude
1 Example Street,271958,5,2,760,49.26720261352952,-123.15820539682844
2 Example Street,821155,2,2,2203,49.23281526674747,-123.10324194484797
3 Example Street,281932,5,3,3448,49.215504161672776,-123.14520281167519
4 Example Street,515838,2,2,997,49.29818408883105,-123.15765290576918
5 Example Street,409178,1,3,1900,49.28389335020693,-123.143147971625
6 Example Street,794167,4,1,1415,49.28604046183116,-123.14240754247419
7 Example Street,260268,4,1,2127,49.225025136051585,-123.12683522447003
8 Example Street,882180,4,1,2519,49.20388347344294,-123.18723102705775
9 Example Street,204886,5,1,2015,49.23032655146732,-123.17499835507839
10 Example Street,287337,1,3,1758,49.25370824271967,-123.1419455987656
11 Example Street,671430,5,1,1818,49.232665124179604,-123.11328833927902
12 Example Street,237498,5,2,1000,49.28278690037876,-123.14381333078562
13 Example Street,325203,1,2,1239,49.227154291581975,-123.17614031402097
14 Example Street,341335,1,2,3335,49.29652518303907,-123.13201552200998
15 Example Street,428167,1,3,1059,49.245726516161376,-123.12600912395526
16 Example Street,191090,1,1,1554,49.2842023075012,-123.1761763847596
17 Example Street,479365,4,1,1069,49.21943800339949,-123.16222711138236
18 Example Street,214820,3,1,1645,49.24113539050567,-123.14656725264695
19 Example Street,937201,3,3,3397,49.26995122107672,-123.15034388093169
20 Example Street,471879,1,2,2293,49.21383530924178,-123.16103819137808
21 Example Street,868315,3,2,2685,49.2132745422243,-123.17023648254907
22 Example Street,477069,3,1,2877,49.29695368671141,-123.19000151128381
23 Example Street,926997,1,2,1162,49.27145951041799,-123.19465147032527
24 Example Street,349041,3,2,3085,49.20410675167679,-123.10414585031168
25 Example Street,941743,5,3,2399,49.23988209014448,-123.11528568559044
26 Example Street,253355,2,3,2674,49.243352073758075,-123.16450948095373
27 Example Street,385796,2,3,825,49.27440426429991,-123.10431991148735
28 Example Street,364176,1,3,1397,49.22508605273467,-123.13232300955757
29 Example Street,334779,4,1,2931,49.218433367433136,-123.15174790503573
30 Example Street,497449,1,3,1559,49.20808729666172,-123.15069743422282
31 Example Street,571909,4,2,2104,49.24283144749401,-123.19167155888047
32 Example Street,408795,2,1,1052,49.26884999007653,-123.19082958527416
33 Example Street,636232,1,2,1415,49.205819359550844,-123.13975590740989
34 Example Street,650186,5,2,1258,49.291521372762645,-123.14462969476541
35 Example Street,306730,3,2,1146,49.24423522297311,-123.17872721049758
36 Example Street,534681,4,3,1815,49.22397873591574,-123.10538054571182
37 Example Street,299503,3,3,616,49.20938732900813,-123.12187039495288
38 Example Street,804811,3,1,1843,49.21828659971073,-123.18865353979825
39 Example Street,677035,1,1,2805,49.29346139973397,-123.10690708943126
40 Example Street,798143,3,3,3124,49.26382705938433,-123.10257517914656
41 Example Street,602366,5,2,1669,49.25166962574266,-123.10040687579696
42 Example Street,215725,3,1,3165,49.265711132850015,-123.19441288453227
43 Example Street,279981,1,3,2746,49.24356728986779,-123.1262964443209
44 Example Street,234654,5,3,2368,49.27300393165618,-123.1454084229835
45 Example Street,741723,2,3,1660,49.204771612769164,-123.12941685161212
46 Example Street,469030,3,2,2927,49.25660372104941,-123.10313480560258
47 Example Street,478947,1,3,3144,49.21586464476425,-123.13119699898249
48 Example Street,705839,2,3,901,49.21201646478057,-123.11630361257626
49 Example Street,423538,2,3,780,49.23418796667164,-123.1133131294689
50 Example Street,481236,4,3,1206,49.20917990658135,-123.11615192362359
51 Example Street,678178,5,1,1299,49.20941569882686,-123.15739085249531
52 Example Street,715894,3,1,1592,49.23114133093913,-123.1777423582429
53 Example Street,639492,1,3,1739,49.297951052862146,-123.16033483980458
54 Example Street,406840,4,2,790,49.21753302698894,-123.11081030912231
55 Example Street,623254,5,1,2900,49.20171611018318,-123.1853395178308
56 Example Street,499457,4,3,1580,49.27633644230039,-123.14866738313076
57 Example Street,815987,5,1,2606,49.280691297705076,-123.17667719275755
58 Example Street,420936,5,1,1784,49.23463043210894,-123.14186945827731
59 Example Street,389931,3,2,727,49.24646738129396,-123.11368614780109
60 Example Street,389629,5,3,2665,49.264977368264276,-123.11196400313615
61 Example Street,355041,4,3,2416,49.20480589241971,-123.17633148063179
62 Example Street,848361,5,2,2358,49.29491457315913,-123.10923062936514
63 Example Street,881912,3,2,3213,49.2886680387298,-123.14081112611787
64 Example Street,567113,3,3,1169,49.22608936233417,-123.16497817532996
65 Example Street,218148,4,3,1946,49.20153045402904,-123.12918188044168
66 Example Street,927089,2,2,2495,49.29334363080795,-123.15183330120358
67 Example Street,798531,2,1,3333,49.25010398839152,-123.16220124098777
68 Example Street,401995,5,1,1225,49.25393774484001,-123.12949156357033
69 Example Street,828843,1,2,2286,49.26839637693981,-123.17512758455698
70 Example Street,722843,5,1,754,49.261585116438994,-123.1669747470981
71 Example Street,406508,4,2,3137,49.29438916045607,-123.15655481555117
72 Example Street,953591,4,1,2009,49.29442515971252,-123.17463178261269
73 Example Street,256530,4,1,1384,49.286719893355496,-123.15947979132186
74 Example Street,754365,4,3,845,49.2636403597446,-123.1428526974795
75 Example Street,972352,4,3,2100,49.28009492946824,-123.12590261390893
76 Example Street,610337,3,1,2305,49.2677168342383,-123.12328051468914
77 Example Street,874839,2,1,3406,49.257336704167194,-123.11772096481232
78 Example Street,955889,4,3,1137,49.21285003532339,-123.12557883430567
79 Example Street,609773,1,3,2490,49.2811204176736,-123.1318960572903
80 Example Street,358261,1,3,2441,49.28206394757439,-123.17624935287076
81 Example Street,914469,1,2,1520,49.262593967010154,-123.1599777107128
82 Example Street,491097,1,1,3055,49.282042684377124,-123.15222851091198
83 Example Street,465139,3,3,1124,49.265148477185775,-123.19171086783066
84 Example Street,321829,1,1,3475,49.220668435987676,-123.14716298787027
85 Example Street,421836,4,2,2129,49.227396112732116,-123.15636641683935
86 Example Street,588974,5,2,635,49.22145891197084,-123.11978907509732
87 Example Street,352283,1,3,1284,49.2377259083228,-123.10220993312457
88 Example Street,346769,3,2,619,49.20389631323103,-123.14439949613573
89 Example Street,711353,3,1,2968,49.26182538843379,-123.16773136117224
90 Example Street,373165,1,3,3159,49.233655421488876,-123.19565992167018
91 Example Street,773587,5,1,999,49.265572263538076,-123.10753566697764
92 Example Street,685822,1,1,3301,49.23853966209656,-123.10808842847213
93 Example Street,637879,3,2,1571,49.268161366897274,-123.17470098320108
94 Example Street,714685,2,2,2506,49.234062456946425,-123.13045888768933
95 Example Street,932038,4,2,3118,49.226069452823594,-123.19245654529102
96 Example Street,503531,3,2,1766,49.24960374542934,-123.18337845680908
97 Example Street,413160,1,2,1715,49.26928903586919,-123.17831908934136
98 Example Street,729879,4,3,1433,49.23483366044532,-123.17055060531605
99 Example Street,370884,1,1,2423,49.293664815185565,-123.10041686249706
100 Example Street,173247,1,1,3374,49.203918632667566,-123.13030749441361
